customer_key,customer_type,country,is_repeated_guest,is_family
1,Transient,PRT,0,0
2,Transient,GBR,0,0
3,Transient,USA,0,0
4,Transient,ESP,0,1
5,Transient,IRL,0,0
6,Contract,PRT,0,0
7,Transient,FRA,0,0
8,Contract,GBR,0,0
9,Contract,IRL,0,0
10,Transient,Unknown,0,0
11,Transient,ESP,0,0
12,Transient,ROU,0,0
13,Transient,PRT,0,1
14,Transient-Party,NOR,0,0
15,Contract,OMN,0,0
16,Transient,ARG,0,0
17,Transient,USA,0,1
18,Transient,POL,0,0
19,Transient,DEU,0,0
20,Contract,FRA,0,0
21,Transient,BEL,0,0
22,Transient,FRA,0,1
23,Transient,CHE,0,0
24,Transient-Party,FRA,0,0
25,Transient,CN,0,1
26,Transient,CHE,0,1
27,Transient,CN,0,0
28,Transient,GRC,0,0
29,Contract,ITA,0,0
30,Transient,NLD,0,0
31,Contract,PRT,0,1
32,Transient-Party,DNK,0,0
33,Transient,RUS,0,0
34,Transient,SWE,0,0
35,Transient,AUS,0,0
36,Transient-Party,PRT,0,0
37,Transient,EST,0,1
38,Transient,GBR,0,1
39,Transient,DNK,0,0
40,Transient,CZE,0,0
41,Transient,BRA,0,0
42,Transient-Party,PRT,0,1
43,Transient,BEL,0,1
44,Transient,FIN,0,1
45,Contract,ESP,0,0
46,Transient,IRL,0,1
47,Transient-Party,ESP,0,0
48,Contract,FIN,0,0
49,Transient,FIN,0,0
50,Transient-Party,IRL,0,0
51,Transient,MOZ,0,0
52,Transient,BWA,0,1
53,Transient,MOZ,0,1
54,Transient,LUX,0,1
55,Group,PRT,0,0
56,Transient,NOR,0,0
57,Transient-Party,BRA,0,0
58,Transient,SVN,0,0
59,Transient,ALB,0,0
60,Transient-Party,GBR,0,0
61,Transient-Party,CN,0,0
62,Transient,BRA,0,1
63,Transient-Party,CHE,0,0
64,Transient,IND,0,1
65,Transient,CHN,0,0
66,Transient,MEX,0,0
67,Transient,RUS,0,1
68,Transient-Party,CHN,0,0
69,Group,GBR,0,0
70,Transient,MAR,0,1
71,Transient,ROU,0,1
72,Transient,MAR,0,0
73,Contract,ROU,0,0
74,Transient,ITA,0,0
75,Transient-Party,ESP,0,1
76,Transient,UKR,0,0
77,Transient-Party,ITA,0,0
78,Transient-Party,SMR,0,0
79,Contract,DEU,0,0
80,Transient,LVA,0,0
81,Transient,PRI,0,1
82,Transient,SRB,0,1
83,Group,BRA,0,1
84,Contract,SWE,0,0
85,Group,IRL,0,0
86,Transient,CHL,0,0
87,Transient,EST,0,0
88,Transient-Party,NLD,0,0
89,Contract,NLD,0,0
90,Transient-Party,DEU,0,0
91,Contract,POL,0,0
92,Contract,AUT,0,0
93,Transient,BLR,0,0
94,Transient,LTU,0,0
95,Transient-Party,LUX,0,0
96,Transient-Party,LVA,0,0
97,Transient,LUX,0,0
98,Transient,AUT,0,0
99,Transient,OMN,0,0
100,Transient-Party,TUR,0,0
101,Group,BEL,0,0
102,Transient,ZAF,0,1
103,Transient,AGO,0,0
104,Transient,ISR,0,0
105,Transient,CHL,0,1
106,Transient,IND,0,0
107,Transient-Party,CYM,0,0
108,Transient-Party,BEL,0,0
109,Transient,ZMB,0,1
110,Contract,GBR,0,1
111,Transient-Party,AUT,0,0
112,Transient,CPV,0,0
113,Transient,POL,0,1
114,Transient,ZWE,0,0
115,Transient,DZA,0,0
116,Transient-Party,CZE,0,0
117,Transient-Party,SWE,0,0
118,Transient-Party,RUS,0,0
119,Transient,ZAF,0,0
120,Transient,KOR,0,0
121,Transient-Party,AUS,0,0
122,Transient-Party,GBR,0,1
123,Transient-Party,POL,0,1
124,Transient-Party,POL,0,0
125,Transient,CRI,0,0
126,Transient-Party,RUS,0,1
127,Transient,ARG,0,1
128,Transient,HUN,0,1
129,Transient-Party,FRA,0,1
130,Transient,ARE,0,0
131,Transient,NLD,0,1
132,Transient,TUN,0,0
133,Transient,NOR,0,1
134,Transient-Party,ARG,0,1
135,Transient,ARE,0,1
136,Transient,DEU,0,1
137,Transient-Party,ROU,0,0
138,Transient-Party,JAM,0,1
139,Transient,DNK,0,1
140,Transient,SWE,0,1
141,Transient,HRV,0,0
142,Transient,HKG,0,0
143,Transient,IRN,0,0
144,Transient,GEO,0,0
145,Transient,AND,0,0
146,Transient,TUR,0,0
147,Transient,ITA,0,1
148,Transient,GIB,0,0
149,Transient,URY,0,0
150,Transient,JEY,0,0
151,Transient,CAF,0,0
152,Transient,CYP,0,0
153,Transient-Party,USA,0,0
154,Transient,AUT,0,1
155,Transient-Party,AUT,0,1
156,Transient,COL,0,0
157,Transient-Party,GGY,0,0
158,Transient,KWT,0,0
159,Transient,AUS,0,1
160,Transient,NGA,0,0
161,Transient,TUR,0,1
162,Transient,KOR,0,1
163,Transient,HUN,0,0
164,Transient,MDV,0,0
165,Transient,VEN,0,1
166,Transient,ISR,0,1
167,Transient,MDV,0,1
168,Transient,HRV,0,1
169,Transient,SVK,0,1
170,Transient,AGO,0,1
171,Transient,FJI,0,1
172,Transient,KAZ,0,1
173,Transient,PAK,0,1
174,Transient,SVK,0,0
175,Transient-Party,CHE,0,1
176,Transient,NGA,0,1
177,Transient,IDN,0,0
178,Transient,LBN,0,0
179,Transient,PHL,0,0
180,Transient,SEN,0,1
181,Transient,SYC,0,0
182,Transient,CYP,0,1
183,Transient,CHN,0,1
184,Transient,GEO,0,1
185,Transient,LVA,0,1
186,Transient,AZE,0,1
187,Transient,AND,0,1
188,Transient,BHR,0,0
189,Transient-Party,Unknown,0,0
190,Transient,Unknown,0,1
191,Transient,PRT,1,0
192,Group,Unknown,0,0
193,Transient-Party,Unknown,0,1
194,Contract,PRT,1,0
195,Transient,ESP,1,1
196,Group,PRT,1,1
197,Group,PRT,1,0
198,Transient,ESP,1,0
199,Transient,Unknown,1,0
200,Transient-Party,PRT,1,0
201,Transient-Party,Unknown,1,0
202,Transient-Party,GBR,1,0
203,Transient,IRL,1,0
204,Transient,ITA,1,0
205,Transient,IRL,1,1
206,Contract,GBR,1,0
207,Group,GBR,1,0
208,Transient-Party,IRL,1,0
209,Transient-Party,PRT,1,1
210,Group,USA,0,1
211,Contract,IRL,0,1
212,Contract,BRA,0,0
213,Contract,NOR,0,0
214,Contract,CHE,0,0
215,Transient,NZL,0,0
216,Transient,IDN,0,1
217,Transient-Party,ROU,0,1
218,Transient,PRT,1,1
219,Contract,NOR,0,1
220,Transient,GBR,1,0
221,Transient,KAZ,0,0
222,Transient,USA,1,0
223,Transient-Party,FRA,1,1
224,Transient,SVN,0,1
225,Group,ITA,0,0
226,Group,NLD,0,0
227,Transient-Party,ITA,1,0
228,Group,USA,0,0
229,Transient,THA,0,0
230,Contract,BEL,0,0
231,Contract,USA,0,0
232,Contract,LVA,0,0
233,Group,FRA,1,0
234,Transient,FRA,1,0
235,Group,IRL,1,0
236,Contract,CN,0,0
237,Transient,DEU,1,0
238,Group,DEU,0,0
239,Group,ESP,0,0
240,Transient,LTU,0,1
241,Transient,DOM,0,0
242,Transient,MKD,0,1
243,Transient-Party,NLD,1,0
244,Transient,PRI,0,0
245,Transient,MYS,0,0
246,Transient,NLD,1,0
247,Transient,NOR,1,0
248,Transient-Party,MEX,0,0
249,Transient-Party,HUN,0,0
250,Group,AUT,1,0
251,Transient-Party,GRC,0,0
252,Group,AUS,1,0
253,Transient,VEN,0,0
254,Transient-Party,GIB,0,0
255,Transient,ARM,0,0
256,Transient,RUS,1,0
257,Transient,FRA,1,1
258,Transient,JPN,0,0
259,Transient,JPN,1,0
260,Transient,LKA,0,0
261,Transient,CHN,1,0
262,Transient,BEL,1,0
263,Transient,CUB,0,0
264,Group,ITA,0,1
265,Group,COL,0,0
266,Group,MAR,0,0
267,Transient,CMR,0,0
268,Transient-Party,CHN,0,1
269,Transient-Party,ITA,0,1
270,Transient,POL,1,0
271,Group,SWE,0,0
272,Transient,BIH,0,0
273,Transient,MUS,0,0
274,Transient,COM,0,1
275,Transient,SUR,0,1
276,Transient,MEX,0,1
277,Transient,FIN,1,0
278,Transient,JAM,0,0
279,Transient-Party,DEU,1,0
280,Transient,UGA,0,0
281,Transient-Party,FIN,0,0
282,Transient-Party,CUB,0,0
283,Transient-Party,FIN,0,1
284,Transient,ITA,1,1
285,Transient,BGR,0,0
286,Transient,ALB,0,1
287,Transient,CIV,0,0
288,Group,CIV,0,0
289,Transient,SRB,0,0
290,Transient,JOR,0,0
291,Transient-Party,SYR,0,0
292,Transient-Party,BEL,1,0
293,Transient-Party,BEL,0,1
294,Group,IND,0,0
295,Transient,OMN,0,1
296,Transient,PRI,1,0
297,Group,ITA,1,0
298,Group,NLD,1,0
299,Transient-Party,NLD,0,1
300,Transient-Party,SGP,0,0
301,Transient-Party,BDI,0,0
302,Transient-Party,BRA,0,1
303,Transient,CN,1,0
304,Group,CN,0,0
305,Transient,GBR,1,1
306,Group,GBR,0,1
307,Transient,SAU,0,1
308,Transient,SGP,0,0
309,Transient-Party,IRL,0,1
310,Transient-Party,ARG,0,0
311,Transient,LBN,0,1
312,Transient,LBN,1,0
313,Transient-Party,CN,0,1
314,Transient-Party,USA,0,1
315,Transient-Party,CHL,0,0
316,Transient,VNM,0,0
317,Transient,PLW,0,0
318,Transient,GIB,0,1
319,Transient-Party,ARE,0,0
320,Transient,DEU,1,1
321,Transient,QAT,0,0
322,Group,LUX,1,0
323,Group,FRA,0,1
324,Group,FRA,0,0
325,Transient-Party,DZA,0,0
326,Transient,EGY,0,0
327,Transient,PER,0,1
328,Contract,DEU,0,1
329,Transient-Party,BLR,0,0
330,Transient,SUR,0,0
331,Transient-Party,THA,0,0
332,Transient,CZE,0,1
333,Group,LVA,0,0
334,Transient-Party,NZL,0,0
335,Transient-Party,OMN,0,0
336,Transient-Party,SUR,0,0
337,Transient-Party,AUT,1,0
338,Transient-Party,LTU,0,0
339,Transient-Party,UKR,0,0
340,Transient,BRA,1,0
341,Group,BRA,1,0
342,Transient-Party,IND,0,0
343,Transient,MLT,0,0
344,Transient-Party,SVN,0,0
345,Group,ESP,1,0
346,Transient,SWE,1,0
347,Transient,MWI,0,0
348,Transient,NZL,0,1
349,Transient,ECU,0,0
350,Transient,MYS,0,1
351,Transient,SGP,0,1
352,Group,CHE,0,0
353,Transient-Party,NLD,1,1
354,Transient-Party,MYS,0,0
355,Group,BRA,0,0
356,Transient,MDG,0,0
357,Transient-Party,ISR,0,0
358,Transient-Party,IDN,0,0
359,Transient,POL,1,1
360,Transient,ISL,0,0
361,Transient,ISL,1,0
362,Transient-Party,GBR,1,1
363,Transient-Party,CAF,0,0
364,Transient-Party,JAM,0,0
365,Transient-Party,AGO,0,0
366,Transient,UZB,0,0
367,Group,ESP,0,1
368,Group,RUS,0,0
369,Transient-Party,URY,0,0
370,Transient-Party,COL,0,0
371,Transient-Party,SVK,0,0
372,Transient,AGO,1,0
373,Transient,NPL,0,0
374,Transient-Party,SRB,0,0
375,Transient,JAM,0,1
376,Transient-Party,IRN,0,0
377,Contract,CZE,0,0
378,Transient-Party,AUS,0,1
379,Transient-Party,SWE,0,1
380,Contract,BHS,0,0
381,Transient-Party,LBN,0,0
382,Transient,PAK,0,0
383,Transient,CHE,1,0
384,Transient-Party,MAC,0,0
385,Transient,TGO,0,0
386,Contract,POL,0,1
387,Transient-Party,TWN,0,0
388,Transient,TWN,0,0
389,Transient-Party,DNK,0,1
390,Group,PRT,0,1
391,Transient,DJI,0,1
392,Transient-Party,ZAF,0,0
393,Transient,ISL,0,1
394,Transient-Party,HUN,0,1
395,Transient-Party,VNM,0,0
396,Transient-Party,JPN,0,0
397,Transient,AZE,0,0
398,Transient,MAR,1,1
399,Group,IRL,0,1
400,Group,AUS,0,0
401,Transient-Party,GEO,0,0
402,Contract,HUN,0,1
403,Transient-Party,DEU,0,1
404,Transient-Party,MAR,0,0
405,Transient-Party,PAK,0,0
406,Contract,ESP,0,1
407,Contract,FRA,0,1
408,Contract,MAR,0,0
409,Contract,AUS,0,0
410,Contract,COL,0,0
411,Contract,NLD,0,1
412,Contract,MAR,0,1
413,Contract,AGO,0,0
414,Contract,LVA,0,1
415,Contract,HRV,0,0
416,Transient,STP,0,0
417,Contract,RUS,0,1
418,Contract,RUS,0,0
419,Contract,MEX,0,0
420,Contract,CHE,0,1
421,Contract,UKR,0,0
422,Contract,VEN,0,1
423,Contract,CHN,0,0
424,Contract,AGO,0,1
425,Contract,KOR,0,0
426,Contract,TUR,0,0
427,Contract,ITA,0,1
428,Contract,DNK,0,0
429,Contract,HUN,0,0
430,Contract,AZE,0,0
431,Contract,BLR,0,0
432,Contract,KAZ,0,0
433,Contract,ISR,0,0
434,Group,JPN,0,0
435,Contract,LTU,0,0
436,Contract,BEL,0,1
437,Contract,GRC,0,0
438,Contract,MYS,0,0
439,Contract,SRB,0,0
440,Contract,IRN,0,0
441,Contract,JPN,0,0
442,Contract,VEN,0,0
443,Contract,USA,0,1
444,Transient-Party,SEN,0,0
445,Transient-Party,KOR,0,0
446,Transient-Party,PER,0,0
447,Transient-Party,EGY,0,0
448,Transient-Party,BGR,0,0
449,Transient-Party,SAU,0,0
450,Transient-Party,KNA,0,0
451,Transient-Party,HRV,0,0
452,Transient-Party,JOR,0,0
453,Transient-Party,KWT,0,0
454,Transient-Party,LKA,0,0
455,Contract,LUX,0,0
456,Transient,ETH,0,0
457,Transient,JPN,0,1
458,Transient,SAU,0,0
459,Transient-Party,OMN,0,1
460,Transient-Party,IRQ,0,1
461,Transient-Party,IRQ,0,0
462,Transient,SEN,0,0
463,Transient-Party,KOR,0,1
464,Transient,HND,0,0
465,Transient,RWA,0,0
466,Transient,UKR,0,1
467,Transient,DZA,0,1
468,Transient,IRN,0,1
469,Transient,ZMB,0,0
470,Transient,QAT,0,1
471,Transient,TWN,0,1
472,Transient,KHM,0,0
473,Transient,MCO,0,0
474,Transient,BGD,0,0
475,Transient-Party,ISL,0,0
476,Transient,TUN,0,1
477,Transient,GRC,0,1
478,Transient,IMN,0,0
479,Transient,TJK,0,0
480,Transient,BGR,0,1
481,Transient,THA,0,1
482,Transient,PER,0,0
483,Transient,NIC,0,1
484,Transient,GGY,0,0
485,Transient,BEN,0,0
486,Transient,MAC,0,0
487,Transient,VGB,0,0
488,Transient,MUS,0,1
489,Transient-Party,MAR,0,1
490,Transient,COL,0,1
491,Transient,MLT,0,1
492,Transient,TZA,0,0
493,Transient,TZA,0,1
494,Transient,EGY,0,1
495,Transient,GAB,0,0
496,Transient-Party,MKD,0,0
497,Transient,GHA,0,0
498,Transient-Party,TUR,0,1
499,Transient,TMP,0,0
500,Transient,BGD,0,1
501,Transient,GLP,0,0
502,Transient,KEN,0,0
503,Transient,LIE,0,0
504,Transient,GNB,0,0
505,Transient,IMN,0,1
506,Transient,BHR,0,1
507,Transient,MNE,0,1
508,Transient,UMI,0,0
509,Transient,MYT,0,0
510,Transient,JEY,0,1
511,Transient,JOR,0,1
512,Transient,DOM,0,1
513,Transient,FRO,0,0
514,Transient,MYT,0,1
515,Transient,ECU,0,1
516,Transient,AUS,1,0
517,Contract,DZA,0,0
518,Transient-Party,TUR,1,0
519,Transient,ISR,1,0
520,Group,MEX,0,0
521,Transient-Party,ESP,1,0
522,Contract,UKR,0,1
523,Transient-Party,CMR,0,0
524,Contract,CHN,0,1
525,Contract,SAU,0,1
526,Contract,SWE,0,1
527,Transient,MMR,0,0
528,Transient,KOR,1,0
529,Transient,IRQ,0,0
530,Contract,FIN,0,1
531,Contract,BGR,0,0
532,Contract,LBN,0,0
533,Contract,ROU,0,1
534,Group,FIN,0,0
535,Contract,TWN,0,0
536,Contract,ARG,0,0
537,Transient,PAN,0,0
538,Transient-Party,BRA,1,0
539,Transient,AUT,1,0
540,Transient,PER,1,0
541,Contract,IRQ,0,0
542,Contract,CHL,0,0
543,Contract,IND,0,0
544,Contract,AUS,0,1
545,Transient-Party,TUN,0,0
546,Contract,SVK,0,0
547,Transient,GRC,1,0
548,Contract,ECU,0,0
549,Contract,BRA,0,1
550,Contract,JPN,0,1
551,Transient,BFA,0,0
552,Transient-Party,ARM,0,0
553,Transient-Party,MOZ,0,0
554,Transient-Party,KEN,0,1
555,Group,DNK,0,0
556,Group,DNK,0,1
557,Transient-Party,CHL,0,1
558,Transient-Party,LBY,0,0
559,Transient-Party,PAN,0,0
560,Transient-Party,VEN,0,0
561,Transient-Party,GNB,0,0
562,Transient,LBY,0,0
563,Group,NOR,0,0
564,Transient,MLI,0,0
565,Transient,DZA,1,0
566,Transient-Party,KAZ,0,0
567,Transient,CRI,0,1
568,Transient,NAM,0,0
569,Transient-Party,BOL,0,0
570,Transient,SVN,1,0
571,Transient-Party,ISR,0,1
572,Transient,LUX,1,0
573,Transient-Party,FRA,1,0
574,Transient-Party,MAR,1,0
575,Transient-Party,USA,1,0
576,Transient-Party,CRI,0,0
577,Transient-Party,EST,0,0
578,Transient-Party,CYP,0,0
579,Transient-Party,BIH,0,0
580,Transient-Party,QAT,0,0
581,Transient,PRY,0,0
582,Transient-Party,BRB,0,0
583,Transient,TMP,0,1
584,Transient,ABW,0,0
