room_key,reserved_room_type,assigned_room_type,meal
1,C,C,BB
2,A,C,BB
3,A,A,BB
4,C,C,FB
5,D,D,HB
6,E,E,BB
7,D,E,BB
8,G,G,HB
9,A,E,BB
10,A,G,BB
11,G,G,BB
12,F,F,BB
13,D,D,BB
14,D,I,HB
15,E,E,HB
16,A,B,HB
17,E,F,HB
18,H,H,BB
19,A,D,BB
20,A,A,HB
21,G,H,BB
22,H,G,BB
23,D,C,BB
24,E,G,BB
25,H,H,FB
26,C,C,HB
27,A,H,BB
28,E,H,BB
29,D,F,BB
30,A,E,HB
31,F,F,HB
32,A,C,HB
33,D,E,HB
34,A,F,BB
35,E,F,BB
36,F,F,FB
37,A,A,FB
38,F,E,BB
39,A,B,BB
40,L,H,BB
41,D,C,HB
42,D,D,FB
43,H,G,HB
44,A,C,FB
45,A,D,FB
46,A,F,FB
47,A,E,FB
48,L,C,BB
49,A,I,BB
50,A,D,HB
51,C,I,BB
52,D,I,BB
53,D,G,BB
54,D,F,HB
55,H,H,HB
56,E,I,HB
57,C,F,BB
58,L,F,BB
59,G,C,HB
60,E,I,BB
61,E,E,FB
62,D,A,HB
63,D,G,HB
64,A,B,FB
65,G,I,BB
66,A,I,SC
67,F,G,BB
68,C,H,BB
69,G,F,BB
70,A,F,HB
71,C,G,BB
72,A,A,SC
73,A,H,HB
74,D,A,BB
75,E,D,HB
76,A,A,Undefined
77,E,A,BB
78,A,F,Undefined
79,A,C,Undefined
80,F,I,HB
81,A,D,Undefined
82,A,E,Undefined
83,A,B,Undefined
84,D,I,SC
85,E,I,FB
86,G,G,FB
87,A,I,HB
88,D,D,Undefined
89,C,C,Undefined
90,A,D,SC
91,E,I,SC
92,D,E,FB
93,E,D,BB
94,E,G,HB
95,E,E,Undefined
96,A,H,Undefined
97,G,G,Undefined
98,F,D,HB
99,F,H,BB
100,F,I,SC
101,F,A,BB
102,D,F,Undefined
103,C,A,BB
104,L,L,BB
105,C,E,BB
106,L,A,BB
107,F,F,Undefined
108,F,G,Undefined
109,B,B,BB
110,L,B,BB
111,G,H,HB
112,F,G,HB
113,C,D,BB
114,D,H,BB
115,F,E,HB
116,A,G,HB
117,A,H,FB
118,C,G,HB
119,H,D,HB
120,D,E,Undefined
121,F,I,BB
122,A,I,FB
123,H,I,BB
124,G,I,HB
125,E,G,FB
126,C,B,BB
127,E,C,BB
128,D,H,FB
129,E,A,HB
130,D,H,HB
131,C,I,SC
132,G,E,BB
133,A,I,Undefined
134,E,F,Undefined
135,C,I,HB
136,G,I,SC
137,G,G,SC
138,D,G,FB
139,E,H,HB
140,A,F,SC
141,F,A,SC
142,B,D,HB
143,B,B,HB
144,A,K,HB
145,B,D,BB
146,B,E,BB
147,F,F,SC
148,F,B,BB
149,A,E,SC
150,A,B,SC
151,A,K,BB
152,D,D,SC
153,D,E,SC
154,D,A,SC
155,A,K,SC
156,B,G,BB
157,B,A,BB
158,G,A,SC
159,A,G,SC
160,B,B,SC
161,E,E,SC
162,G,F,HB
163,A,C,SC
164,D,K,BB
165,F,D,BB
166,F,G,SC
167,G,A,BB
168,D,B,BB
169,G,E,FB
170,G,F,FB
171,C,A,SC
172,C,C,SC
173,E,B,BB
174,B,F,BB
175,B,D,SC
176,D,K,SC
177,G,B,BB
178,E,K,BB
179,F,K,BB
180,G,C,BB
181,F,B,HB
182,D,K,HB
183,B,K,BB
184,G,K,BB
185,B,A,HB
186,E,K,HB
187,G,K,SC
