booking_id,date_key,hotel_key,customer_key,market_key,room_key,is_canceled,lead_time,total_nights,total_guests,adr,total_revenue,booking_changes,days_in_waiting_list,required_car_parking_spaces,total_of_special_requests,room_upgraded,reservation_status
1,20150701,1,1,1,1,0,342,0,2,0.0,0.0,3,0,0,0,0,Check-Out
2,20150701,1,1,1,1,0,737,0,2,0.0,0.0,4,0,0,0,0,Check-Out
3,20150701,1,2,1,2,0,7,1,1,75.0,75.0,0,0,0,0,1,Check-Out
4,20150701,1,2,2,3,0,13,1,1,75.0,75.0,0,0,0,0,0,Check-Out
5,20150701,1,2,3,3,0,14,2,2,98.0,196.0,0,0,0,1,0,Check-Out
6,20150701,1,2,3,3,0,14,2,2,98.0,196.0,0,0,0,1,0,Check-Out
7,20150701,1,1,1,1,0,0,2,2,107.0,214.0,0,0,0,0,0,Check-Out
8,20150701,1,1,1,4,0,9,2,2,103.0,206.0,0,0,0,1,0,Check-Out
9,20150701,1,1,3,3,1,85,3,2,82.0,246.0,0,0,0,1,0,Canceled
10,20150701,1,1,4,5,1,75,3,2,105.5,316.5,0,0,0,0,0,Canceled
11,20150701,1,1,3,6,1,23,4,2,123.0,492.0,0,0,0,0,0,Canceled
12,20150701,1,1,3,5,0,35,4,2,145.0,580.0,0,0,0,0,0,Check-Out
13,20150701,1,3,3,7,0,68,4,2,97.0,388.0,0,0,0,3,1,Check-Out
14,20150701,1,4,3,8,0,18,4,3,154.77,619.08,1,0,0,1,0,Check-Out
15,20150701,1,1,3,6,0,37,4,2,94.71,378.84,0,0,0,0,0,Check-Out
16,20150701,1,5,3,7,0,68,4,2,97.0,388.0,0,0,0,3,1,Check-Out
17,20150701,1,6,4,6,0,37,4,2,97.5,390.0,0,0,0,0,0,Check-Out
18,20150701,1,5,3,9,0,12,1,2,88.2,88.2,0,0,0,0,1,Check-Out
19,20150701,1,7,2,10,0,0,1,2,107.42,107.42,0,0,0,0,1,Check-Out
20,20150701,1,2,1,11,0,7,4,2,153.0,612.0,0,0,0,1,0,Check-Out
21,20150701,1,2,3,12,0,37,5,1,97.29,486.45000000000005,0,0,0,1,0,Check-Out
22,20150701,1,1,1,3,0,72,6,2,84.67,508.02,1,0,0,1,0,Check-Out
23,20150701,1,1,1,3,0,72,6,2,84.67,508.02,1,0,0,1,0,Check-Out
24,20150701,1,1,1,13,0,72,6,2,99.67,598.02,1,0,0,1,0,Check-Out
25,20150701,1,8,4,14,0,127,7,2,94.95,664.65,0,0,0,1,1,Check-Out
26,20150701,1,1,4,13,0,78,7,2,63.6,445.2,0,0,1,0,0,Check-Out
